ID_LOC,TIME_ZONE,TIMESTAMP,TIMESTAMP_UNIX,TIME,PRESSURE_MSL,TEMPERATURE_2M,TEMPERATURE_80M
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-22T01:00:00Z,1015.3,18.5,18.8
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-23T03:00:00Z,1014.9,18.5,20.4
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-23T05:00:00Z,1014.6,18,19.9
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-23T11:00:00Z,1016.6,20.5,19.6
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-23T13:00:00Z,1016,22.1,19.7
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-23T21:00:00Z,1016.4,17.8,19.5
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-24T05:00:00Z,1015.2,15.9,19.4
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-25T11:00:00Z,1016.7,20.9,19.9
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-25T17:00:00Z,1014.2,23,21.3
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-22T19:00:00Z,1014.6,21.7,19.8
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-22T22:00:00Z,1016.2,19.9,19.9
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-23T02:00:00Z,1015.4,19,20.2
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-23T22:00:00Z,1017,17.6,19.6
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-24T02:00:00Z,1015.8,16.8,20
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-24T04:00:00Z,1015.4,16.1,19.5
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-24T16:00:00Z,1015.1,23.5,20.4
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-24T21:00:00Z,1016,19.5,20.5
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-25T02:00:00Z,1015.1,17.6,20.8
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-25T07:00:00Z,1015.1,16.3,19.9
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-25T09:00:00Z,1015.8,18.3,20.2
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-22T05:00:00Z,1013.8,17.6,20.2
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-22T21:00:00Z,1015.6,20.3,19.6
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-23T00:00:00Z,1016.1,19.7,20
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-23T08:00:00Z,1015.8,17.7,18.8
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-23T16:00:00Z,1015.2,21.9,19.9
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-24T00:00:00Z,1016.7,17.3,19.7
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-24T03:00:00Z,1015.4,16.4,19.3
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-24T10:00:00Z,1016.2,21.3,19.6
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-24T11:00:00Z,1016.4,22.3,19.7
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-24T19:00:00Z,1015.2,21.1,20.4
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-24T20:00:00Z,1015.5,20.3,20.4
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-25T04:00:00Z,1014.2,17.3,20.6
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-25T06:00:00Z,1013.9,17.6,20.9
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-25T08:00:00Z,1015.5,17.4,20.9
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-25T13:00:00Z,1015.5,22.8,21
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-22T02:00:00Z,1015.1,18.2,19.2
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-22T09:00:00Z,1014.9,19.4,19.8
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-22T15:00:00Z,1014,24.5,19.8
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-23T12:00:00Z,1016.4,21.4,19.6
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-23T23:00:00Z,1016.9,17.5,20.2
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-24T08:00:00Z,1015.5,17.8,19.8
